position,proba to win
'00005,1
'00004,1
'00003,1
'00002,1
'00001,1
'00000,1
'00015,0.6666666666666666
'00014,0.8888888888888888
'00013,0.9629629629629629
'00012,0.9876543209876543
'00011,0.9958847736625515
'00010,0.9986282578875172
'00025,0.4444444444444444
'00024,0.7407407407407408
'00023,0.8888888888888888
'00022,0.9547325102880658
'00021,0.9821673525377229
'00020,0.9931412894375858
'00035,0.2962962962962963
'00034,0.5925925925925927
'00033,0.7901234567901234
'00032,0.8998628257887518
'00031,0.9547325102880659
'00030,0.9803383630544126
'00045,0.19753086419753085
'00044,0.46090534979423875
'00043,0.6803840877914952
'00042,0.8267032464563329
'00041,0.9120560890108216
'00040,0.9575776050398822
'00105,0.6666666666666666
'00104,0.8888888888888888
'00103,0.9629629629629629
'00102,0.9876543209876543
'00101,0.9958847736625515
'00100,0.9986282578875172
'00115,0.5
'00114,0.7916666666666666
'00113,0.9201388888888888
'00112,0.9707754629629629
'00111,0.9896074459876543
'00110,0.9963730549125515
'00125,0.3611111111111111
'00124,0.6712962962962963
'00123,0.8501157407407407
'00122,0.936599794238683
'00121,0.9744955096879286
'00120,0.9900957272376543
'00135,0.25462962962962965
'00134,0.5474537037037037
'00133,0.7594521604938271
'00132,0.8831286436899862
'00131,0.9467130433384774
'00130,0.9768107152170495
'00145,0.17669753086419754
'00144,0.43312757201646096
'00143,0.6581039951989026
'00142,0.812766132258802
'00141,0.9045620769866446
'00140,0.9539402781151565
'00205,0.4444444444444444
'00204,0.7407407407407408
'00203,0.8888888888888888
'00202,0.9547325102880658
'00201,0.9821673525377229
'00200,0.9931412894375858
'00215,0.3611111111111111
'00214,0.6712962962962963
'00213,0.8501157407407407
'00212,0.936599794238683
'00211,0.9744955096879286
'00210,0.9900957272376543
'00225,0.2708333333333333
'00224,0.5711805555555556
'00223,0.7803819444444444
'00222,0.8975453317901234
'00221,0.9552579652134774
'00220,0.9813862867316101
'00235,0.19907407407407407
'00234,0.4722222222222222
'00233,0.6981095679012346
'00232,0.8440822187928669
'00231,0.9253277981395747
'00230,0.9662277717049611
'00245,0.14371141975308643
'00244,0.38032085905349794
'00243,0.6086609975137174
'00242,0.7773978918395633
'00241,0.8831538912763393
'00240,0.9423874282003546
'00305,0.2962962962962963
'00304,0.5925925925925927
'00303,0.7901234567901234
'00302,0.8998628257887518
'00301,0.9547325102880659
'00300,0.9803383630544126
'00315,0.25462962962962965
'00314,0.5474537037037037
'00313,0.7594521604938271
'00312,0.8831286436899862
'00311,0.9467130433384774
'00310,0.9768107152170495
'00325,0.19907407407407407
'00324,0.4722222222222222
'00323,0.6981095679012346
'00322,0.8440822187928669
'00321,0.9253277981395747
'00320,0.9662277717049611
'00335,0.14930555555555555
'00334,0.3914930555555555
'00333,0.6214554398148148
'00332,0.788425524048354
'00331,0.8911022296167694
'00330,0.9474463861829132
'00345,0.1105806327160494
'00344,0.3184719007201646
'00343,0.542510944465878
'00342,0.7241899711005373
'00341,0.8473870804026039
'00340,0.9211668202421963
'00405,0.19753086419753085
'00404,0.46090534979423875
'00403,0.6803840877914952
'00402,0.8267032464563329
'00401,0.9120560890108216
'00400,0.9575776050398822
'00415,0.17669753086419754
'00414,0.43312757201646096
'00413,0.6581039951989026
'00412,0.812766132258802
'00411,0.9045620769866446
'00410,0.9539402781151565
'00425,0.14371141975308643
'00424,0.38032085905349794
'00423,0.6086609975137174
'00422,0.7773978918395633
'00421,0.8831538912763393
'00420,0.9423874282003546
'00435,0.1105806327160494
'00434,0.3184719007201646
'00433,0.542510944465878
'00432,0.7241899711005373
'00431,0.8473870804026039
'00430,0.9211668202421963
'00445,0.08293547453703705
'00444,0.2595877941743827
'00443,0.4717801568930042
'00442,0.661087517548654
'00441,0.8008121896891164
'00440,0.8910781626039264
'01005,0.6666666666666666
'01004,0.8888888888888888
'01003,0.9629629629629629
'01002,0.9876543209876543
'01001,0.9958847736625515
'01000,0.9986282578875172
'01015,0.5
'01014,0.7916666666666666
'01013,0.9201388888888888
'01012,0.9707754629629629
'01011,0.9896074459876543
'01010,0.9963730549125515
'01025,0.3611111111111111
'01024,0.6712962962962963
'01023,0.8501157407407407
'01022,0.936599794238683
'01021,0.9744955096879286
'01020,0.9900957272376543
'01035,0.25462962962962965
'01034,0.5474537037037037
'01033,0.7594521604938271
'01032,0.8831286436899862
'01031,0.9467130433384774
'01030,0.9768107152170495
'01045,0.17669753086419754
'01044,0.43312757201646096
'01043,0.6581039951989026
'01042,0.812766132258802
'01041,0.9045620769866446
'01040,0.9539402781151565
'01105,0.5
'01104,0.7916666666666666
'01103,0.9201388888888888
'01102,0.9707754629629629
'01101,0.9896074459876543
'01100,0.9963730549125515
'01115,0.4
'01114,0.7133333333333333
'01113,0.8787777777777777
'01112,0.9523759259259258
'01111,0.9821611419753087
'01110,0.993530672325103
'01125,0.3044444444444444
'01124,0.6147407407407408
'01123,0.8145055555555555
'01122,0.9184913991769547
'01121,0.9663609405006859
'01120,0.9867227479252401
'01135,0.22362962962962962
'01134,0.5096037037037038
'01133,0.7315038271604937
'01132,0.8669487825788751
'01131,0.9386193500514404
'01130,0.973137255267204
'01145,0.16013086419753086
'01144,0.40911868312757205
'01143,0.637666865569273
'01142,0.7994193390489255
'01141,0.897156438625019
'01140,0.9502623010779481
'01205,0.3611111111111111
'01204,0.6712962962962963
'01203,0.8501157407407407
'01202,0.936599794238683
'01201,0.9744955096879286
'01200,0.9900957272376543
'01215,0.3044444444444444
'01214,0.6147407407407408
'01213,0.8145055555555555
'01212,0.9184913991769547
'01211,0.9663609405006859
'01210,0.9867227479252401
'01225,0.2368333333333333
'01224,0.5304472222222223
'01223,0.7508691666666666
'01222,0.8807777391975307
'01221,0.9470237051826131
'01220,0.9777156471379888
'01235,0.17927407407407409
'01234,0.44439888888888895
'01233,0.67515012345679
'01232,0.8295473206447188
'01231,0.917508375840192
